CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1733909374215, currentProgramName='Program3', currentProgramStartTime=1733918674215, cycleTime=9300}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734023014215, currentProgramName='Program3', currentProgramStartTime=1734032614215, cycleTime=9600}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1734032614215, currentProgramName='Program1', currentProgramStartTime=1734042214215, cycleTime=9600}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program1', previousProgramStartTime=1734042214215, currentProgramName='Program3', currentProgramStartTime=1734052474215, cycleTime=10260}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1733995054215, currentProgramName='Program2', currentProgramStartTime=1734063154215, cycleTime=68100}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734052474215, currentProgramName='Program4', currentProgramStartTime=1734069934215, cycleTime=17460}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734063154215, currentProgramName='Program3', currentProgramStartTime=1734081334215, cycleTime=18180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734081334215, currentProgramName='Program2', currentProgramStartTime=1734090634215, cycleTime=9300}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1733950354215, currentProgramName='Program2', currentProgramStartTime=1734101314215, cycleTime=150960}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734069934215, currentProgramName='Program3', currentProgramStartTime=1734109954215, cycleTime=40020}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1734109954215, currentProgramName='Program1', currentProgramStartTime=1734117694215, cycleTime=7740}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734090634215, currentProgramName='Program4', currentProgramStartTime=1734126514215, cycleTime=35880}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program1', previousProgramStartTime=1734117694215, currentProgramName='Program3', currentProgramStartTime=1734136654215, cycleTime=18960}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734101314215, currentProgramName='Program4', currentProgramStartTime=1734147514215, cycleTime=46200}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734126514215, currentProgramName='Program3', currentProgramStartTime=1734154234215, cycleTime=27720}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734147514215, currentProgramName='Program3', currentProgramStartTime=1734163234215, cycleTime=15720}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734163234215, currentProgramName='Program2', currentProgramStartTime=1734170674215, cycleTime=7440}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734136654215, currentProgramName='Program2', currentProgramStartTime=1734179014215, cycleTime=42360}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734154234215, currentProgramName='Program3', currentProgramStartTime=1734187954215, cycleTime=33720}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734179014215, currentProgramName='Program3', currentProgramStartTime=1734197194215, cycleTime=18180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734187954215, currentProgramName='Program4', currentProgramStartTime=1734205474215, cycleTime=17520}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734205474215, currentProgramName='Program3', currentProgramStartTime=1734213034215, cycleTime=7560}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734213034215, currentProgramName='Program2', currentProgramStartTime=1734223294215, cycleTime=10260}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734223294215, currentProgramName='Program3', currentProgramStartTime=1734233494215, cycleTime=10200}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1734170674215, currentProgramName='Program2', currentProgramStartTime=1734242734215, cycleTime=72060}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734233494215, currentProgramName='Program3', currentProgramStartTime=1734251554215, cycleTime=18060}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734242734215, currentProgramName='Program3', currentProgramStartTime=1734260914215, cycleTime=18180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734197194215, currentProgramName='Program3', currentProgramStartTime=1734271474215, cycleTime=74280}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734271474215, currentProgramName='Program3', currentProgramStartTime=1734279874215, cycleTime=8400}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734251554215, currentProgramName='Program4', currentProgramStartTime=1734287794215, cycleTime=36240}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program4', previousProgramStartTime=1734287794215, currentProgramName='Program1', currentProgramStartTime=1734295234215, cycleTime=7440}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program1', previousProgramStartTime=1734295234215, currentProgramName='Program3', currentProgramStartTime=1734303634215, cycleTime=8400}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734303634215, currentProgramName='Program4', currentProgramStartTime=1734312754215, cycleTime=9120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1734279874215, currentProgramName='Program1', currentProgramStartTime=1734323614215, cycleTime=43740}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734312754215, currentProgramName='Program2', currentProgramStartTime=1734332554215, cycleTime=19800}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734260914215, currentProgramName='Program3', currentProgramStartTime=1734340894215, cycleTime=79980}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734323614215, currentProgramName='Program4', currentProgramStartTime=1734349954215, cycleTime=26340}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734340894215, currentProgramName='Program2', currentProgramStartTime=1734356074215, cycleTime=15180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734349954215, currentProgramName='Program2', currentProgramStartTime=1734365434215, cycleTime=15480}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program2', previousProgramStartTime=1734365434215, currentProgramName='Program1', currentProgramStartTime=1734375574215, cycleTime=10140}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1734356074215, currentProgramName='Program2', currentProgramStartTime=1734385714215, cycleTime=29640}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734375574215, currentProgramName='Program4', currentProgramStartTime=1734394534215, cycleTime=18960}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program4', previousProgramStartTime=1734394534215, currentProgramName='Program1', currentProgramStartTime=1734405454215, cycleTime=10920}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1734332554215, currentProgramName='Program2', currentProgramStartTime=1734415414215, cycleTime=82860}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734415414215, currentProgramName='Program4', currentProgramStartTime=1734423934215, cycleTime=8520}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1734385714215, currentProgramName='Program2', currentProgramStartTime=1734434554215, cycleTime=48840}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734434554215, currentProgramName='Program3', currentProgramStartTime=1734443674215, cycleTime=9120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734443674215, currentProgramName='Program3', currentProgramStartTime=1734454954215, cycleTime=11280}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734454954215, currentProgramName='Program2', currentProgramStartTime=1734466474215, cycleTime=11520}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734466474215, currentProgramName='Program4', currentProgramStartTime=1734476134215, cycleTime=9660}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734405454215, currentProgramName='Program4', currentProgramStartTime=1734483634215, cycleTime=78180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734476134215, currentProgramName='Program3', currentProgramStartTime=1734493534215, cycleTime=17400}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734423934215, currentProgramName='Program4', currentProgramStartTime=1734504334215, cycleTime=80400}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734483634215, currentProgramName='Program3', currentProgramStartTime=1734514954215, cycleTime=31320}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734504334215, currentProgramName='Program4', currentProgramStartTime=1734524314215, cycleTime=19980}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program4', previousProgramStartTime=1734524314215, currentProgramName='Program1', currentProgramStartTime=1734533734215, cycleTime=9420}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734514954215, currentProgramName='Program2', currentProgramStartTime=1734542914215, cycleTime=27960}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734533734215, currentProgramName='Program4', currentProgramStartTime=1734551854215, cycleTime=18120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734542914215, currentProgramName='Program3', currentProgramStartTime=1734561094215, cycleTime=18180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734561094215, currentProgramName='Program2', currentProgramStartTime=1734572134215, cycleTime=11040}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734572134215, currentProgramName='Program4', currentProgramStartTime=1734580954215, cycleTime=8820}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734493534215, currentProgramName='Program2', currentProgramStartTime=1734589654215, cycleTime=96120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734580954215, currentProgramName='Program4', currentProgramStartTime=1734597814215, cycleTime=16860}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1734589654215, currentProgramName='Program2', currentProgramStartTime=1734608374215, cycleTime=18720}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734608374215, currentProgramName='Program3', currentProgramStartTime=1734619054215, cycleTime=10680}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734597814215, currentProgramName='Program2', currentProgramStartTime=1734632434215, cycleTime=34620}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1734619054215, currentProgramName='Program2', currentProgramStartTime=1734641914215, cycleTime=22860}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1734632434215, currentProgramName='Program2', currentProgramStartTime=1734653554215, cycleTime=21120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734551854215, currentProgramName='Program3', currentProgramStartTime=1734661354215, cycleTime=109500}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734661354215, currentProgramName='Program4', currentProgramStartTime=1734670354215, cycleTime=9000}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734641914215, currentProgramName='Program3', currentProgramStartTime=1734677794215, cycleTime=35880}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734677794215, currentProgramName='Program4', currentProgramStartTime=1734689974215, cycleTime=12180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734689974215, currentProgramName='Program4', currentProgramStartTime=1734699814215, cycleTime=9840}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734699814215, currentProgramName='Program4', currentProgramStartTime=1734708694215, cycleTime=8880}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734670354215, currentProgramName='Program2', currentProgramStartTime=1734715234215, cycleTime=44880}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1734715234215, currentProgramName='Program3', currentProgramStartTime=1734724174215, cycleTime=8940}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734724174215, currentProgramName='Program4', currentProgramStartTime=1734734614215, cycleTime=10440}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734734614215, currentProgramName='Program3', currentProgramStartTime=1734743314215, cycleTime=8700}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734743314215, currentProgramName='Program4', currentProgramStartTime=1734753214215, cycleTime=9900}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734708694215, currentProgramName='Program4', currentProgramStartTime=1734762814215, cycleTime=54120}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734653554215, currentProgramName='Program4', currentProgramStartTime=1734770854215, cycleTime=117300}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734762814215, currentProgramName='Program3', currentProgramStartTime=1734779194215, cycleTime=16380}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program4', previousProgramStartTime=1734770854215, currentProgramName='Program1', currentProgramStartTime=1734788554215, cycleTime=17700}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734779194215, currentProgramName='Program4', currentProgramStartTime=1734798394215, cycleTime=19200}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734788554215, currentProgramName='Program4', currentProgramStartTime=1734809734215, cycleTime=21180}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734798394215, currentProgramName='Program3', currentProgramStartTime=1734818074215, cycleTime=19680}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1734818074215, currentProgramName='Program1', currentProgramStartTime=1734827614215, cycleTime=9540}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734809734215, currentProgramName='Program2', currentProgramStartTime=1734837514215, cycleTime=27780}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734753214215, currentProgramName='Program2', currentProgramStartTime=1734846154215, cycleTime=92940}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program2', previousProgramStartTime=1734846154215, currentProgramName='Program1', currentProgramStartTime=1734853354215, cycleTime=7200}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734853354215, currentProgramName='Program4', currentProgramStartTime=1734863794215, cycleTime=10440}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program1', previousProgramStartTime=1734827614215, currentProgramName='Program3', currentProgramStartTime=1734873274215, cycleTime=45660}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734863794215, currentProgramName='Program2', currentProgramStartTime=1734879814215, cycleTime=16020}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program2', previousProgramStartTime=1734837514215, currentProgramName='Program1', currentProgramStartTime=1734888994215, cycleTime=51480}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1734873274215, currentProgramName='Program4', currentProgramStartTime=1734896914215, cycleTime=23640}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734896914215, currentProgramName='Program2', currentProgramStartTime=1734905614215, cycleTime=8700}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734905614215, currentProgramName='Program4', currentProgramStartTime=1734913714215, cycleTime=8100}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734913714215, currentProgramName='Program3', currentProgramStartTime=1734924694215, cycleTime=10980}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1734924694215, currentProgramName='Program1', currentProgramStartTime=1734932734215, cycleTime=8040}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734932734215, currentProgramName='Program4', currentProgramStartTime=1734941554215, cycleTime=8820}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1734888994215, currentProgramName='Program4', currentProgramStartTime=1734951034215, cycleTime=62040}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program2', previousProgramStartTime=1734879814215, currentProgramName='Program1', currentProgramStartTime=1734958174215, cycleTime=78360}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1734951034215, currentProgramName='Program3', currentProgramStartTime=1734967114215, cycleTime=16080}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program4', previousProgramStartTime=1734941554215, currentProgramName='Program4', currentProgramStartTime=1734973654215, cycleTime=32100}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1734973654215, currentProgramName='Program2', currentProgramStartTime=1734981454215, cycleTime=7800}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program2', previousProgramName='Program1', previousProgramStartTime=1734958174215, currentProgramName='Program2', currentProgramStartTime=1734988474215, cycleTime=30300}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734988474215, currentProgramName='Program4', currentProgramStartTime=1734998674215, cycleTime=10200}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program4', previousProgramStartTime=1734998674215, currentProgramName='Program1', currentProgramStartTime=1735006234215, cycleTime=7560}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1734981454215, currentProgramName='Program4', currentProgramStartTime=1735016014215, cycleTime=34560}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program1', previousProgramName='Program4', previousProgramStartTime=1735016014215, currentProgramName='Program1', currentProgramStartTime=1735025494215, cycleTime=9480}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program1', previousProgramStartTime=1735006234215, currentProgramName='Program3', currentProgramStartTime=1735033054215, cycleTime=26820}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1734967114215, currentProgramName='Program3', currentProgramStartTime=1735043974215, cycleTime=76860}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1735033054215, currentProgramName='Program1', currentProgramStartTime=1735054354215, cycleTime=21300}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program3', previousProgramName='Program1', previousProgramStartTime=1735054354215, currentProgramName='Program3', currentProgramStartTime=1735064374215, cycleTime=10020}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program1', previousProgramStartTime=1735025494215, currentProgramName='Program4', currentProgramStartTime=1735075174215, cycleTime=49680}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1735043974215, currentProgramName='Program1', currentProgramStartTime=1735085134215, cycleTime=41160}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program4', previousProgramStartTime=1735075174215, currentProgramName='Program3', currentProgramStartTime=1735096234215, cycleTime=21060}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program1', previousProgramStartTime=1735085134215, currentProgramName='Program2', currentProgramStartTime=1735106674215, cycleTime=21540}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_103', programName='Program1', previousProgramName='Program3', previousProgramStartTime=1735064374215, currentProgramName='Program1', currentProgramStartTime=1735118014215, cycleTime=53640}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program3', previousProgramName='Program3', previousProgramStartTime=1735096234215, currentProgramName='Program3', currentProgramStartTime=1735127014215, cycleTime=30780}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1735106674215, currentProgramName='Program2', currentProgramStartTime=1735137034215, cycleTime=30360}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program3', previousProgramStartTime=1735127014215, currentProgramName='Program2', currentProgramStartTime=1735146334215, cycleTime=19320}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program3', previousProgramName='Program2', previousProgramStartTime=1735137034215, currentProgramName='Program3', currentProgramStartTime=1735155694215, cycleTime=18660}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program2', previousProgramName='Program2', previousProgramStartTime=1735146334215, currentProgramName='Program2', currentProgramStartTime=1735166734215, cycleTime=20400}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program4', previousProgramName='Program3', previousProgramStartTime=1735155694215, currentProgramName='Program4', currentProgramStartTime=1735175734215, cycleTime=20040}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_102', programName='Program4', previousProgramName='Program2', previousProgramStartTime=1735166734215, currentProgramName='Program4', currentProgramStartTime=1735184674215, cycleTime=17940}
CycleTimeEvent{deviceName='Fanuc_PaintRobot_101', programName='Program2', previousProgramName='Program4', previousProgramStartTime=1735175734215, currentProgramName='Program2', currentProgramStartTime=1735193074215, cycleTime=17340}
